,Date,StockPrice,Log Normal StockPrice,TTMNetEPS,TTMSalesperShare,PricetoSalesRatio,BookValueperShare,TTMFCFperShare,QuarterlyRevenue,Quarterly Revenue % Change,GrossProfit,OperatingIncome,EBITDA,NetIncome,Net Income % Change,EPS,CurrentAssets,CurrentLiabilities,CurrentAssetsInventory,QuickRatio,DebtToEquity Ratio,TTMNetIncome,LTInvestmentsDebt,TotalAssets,CashOnHand,LongTermDebt,TotalLiabilities,PE Ratio,PricetoBook Ratio,Current Ratio,Shareholder Equity,ROI
29,3/31/2014,38.65,-0.021500700265127164,4.47,40.7,0.95,3.34,17.69,30818,-0.8,19629,22.39,11297,3947,-22.1,1.15,23.27,25.35,22.39,0.88,7.77,32.91,121.47,221562,3544,107617,207711,8.65,11.57,0.92,13851,0.270931094097308
30,6/30/2014,40.19,0.03907143342767873,4.7,37.91,1.06,3.86,15.89,31483,2.16,19396,21.81,11846,4214,6.76,1.01,22.89,26.49,21.81,0.82,6.73,34.04,123.71,224427,6424,107696,208415,8.55,10.41,0.86,16012,0.2751596475628486
31,9/30/2014,41.51,0.03231615360383773,4.81,34.97,1.19,4.33,12.65,31586,0.33,19334,23.57,11057,3695,-12.32,0.89,24.77,26.89,23.57,0.88,5.99,33.8,125.6,226293,7853,107627,208325,8.63,9.59,0.92,17968,0.26910828025477707
32,12/31/2014,39.27,-0.05547349347502896,2.51,32.5,1.21,3.29,8.3,33192,5.08,18789,28.35,1932,-2231,-160.38,-0.63,29.5,27.99,28.35,1.01,8.08,19.6,124.21,232616,11153,110536,218940,15.65,11.94,1.05,13676,0.15779727880202885
33,3/31/2015,41.31,0.050643732818754936,2.38,31.27,1.32,2.64,9.01,31984,-3.64,19888,21.76,11949,4219,-289.11,1.02,22.84,28.71,21.76,0.76,10.13,20.4,119.71,235790,4933,108949,225031,17.36,15.65,0.8,10759,0.17041182858574888
34,6/30/2015,40.04,-0.031225646961653378,2.41,31.58,1.27,3.17,10.12,32224,0.75,19775,20.35,11801,4231,0.28,1.04,21.5,30.65,20.35,0.66,8.5,20.54,122.34,240753,3317,109465,227879,16.61,12.63,0.7,12874,0.16789275788785352
35,9/30/2015,37.81,-0.05730533654417832,2.51,32.12,1.18,3.57,11.48,33158,2.9,19853,20.45,11544,4038,-4.56,0.99,21.77,34.49,20.45,0.59,7.22,21.18,119.6,242073,4181,105060,227531,15.06,10.59,0.63,14542,0.1770903010033445
36,12/31/2015,40.69,0.07340874411075694,4.37,32.15,1.27,4.38,13.3,34254,3.31,19547,21.1,13783,5391,33.51,1.32,22.36,35.05,21.1,0.6,5.79,33.06,121.08,244175,4820,103240,226333,9.31,9.29,0.64,17842,0.2730426164519326
37,3/31/2016,48.2,0.16937665904295623,4.41,32.26,1.49,4.93,12.73,32171,-6.08,19559,22.47,11959,4310,-20.05,1.06,23.62,33.31,22.47,0.68,5.15,33.04,123.72,244587,5846,103615,224484,10.93,9.78,0.71,20103,0.2670546395085677
38,6/30/2016,50.29,0.042447229127318624,3.54,31.85,1.58,5.09,11.47,30532,-5.09,18311,19.91,8536,702,-83.71,0.17,20.84,34.41,19.91,0.58,4.48,29.78,113.67,231870,2857,92922,211126,14.21,9.88,0.61,20744,0.261986452010205
39,9/30/2016,47.28,-0.061718877086030605,3.44,31.29,1.51,5.39,9.13,30937,1.33,18708,24.3,10482,3620,415.67,0.89,25.62,30.3,24.3,0.8,4.67,28.78,124.72,239498,6441,102739,217515,13.74,8.77,0.85,21983,0.2307568954457986
40,12/31/2016,49.12,0.0381789107410442,3.22,30.84,1.59,5.9,5.34,32340,4.54,17978,25.19,12010,4495,24.17,1.09,26.4,30.34,25.19,0.83,4.39,27.06,129.47,244180,2880,105433,220148,15.25,8.33,0.87,24032,0.20900594732370434
41,3/31/2017,45.34,-0.08007663875950394,3.0,30.26,1.5,6.14,3.92,29814,-7.81,17767,25.96,11021,3450,-23.25,0.84,27.16,26.66,25.96,0.97,4.51,26.08,137.88,246731,4307,112839,221694,15.11,7.38,1.02,25037,0.18914998549463302
42,6/30/2017,42.03,-0.07580599606235766,3.9,30.26,1.39,6.56,3.1,30548,2.46,18064,27.71,12181,4362,26.43,1.07,28.82,27.76,27.71,1.0,4.35,29.54,143.15,252978,4583,116390,226217,10.78,6.41,1.04,26761,0.20635696821515892
43,9/30/2017,47.2,0.11601024357448445,3.9,30.44,1.55,6.97,3.01,31717,3.83,19112,29.59,11480,3620,-17.01,0.89,30.87,28.93,29.59,1.02,4.05,30.21,143.77,254682,4487,115317,226231,12.1,6.77,1.07,28451,0.21012728663838073
44,12/31/2017,51.09,0.079194890751197,7.36,30.83,1.66,10.95,3.57,33955,7.06,19535,28.88,9686,18669,415.72,4.56,29.91,33.04,28.88,0.87,2.54,27.41,158.33,257143,2079,113642,212456,6.94,4.67,0.91,44687,0.17311943409334932
45,3/31/2018,46.68,-0.09027297592435148,7.63,31.27,1.49,12.67,4.49,31772,-6.43,18517,29.74,11673,4545,-75.65,1.11,31.03,31.62,29.74,0.94,2.15,27.8,165.08,264516,1923,112734,212171,6.12,3.68,0.98,52345,0.16840319844923674
46,6/30/2018,49.73,0.0632925653082918,7.56,31.58,1.57,12.97,6.01,32203,1.36,18572,29.77,10967,4120,-9.35,1.0,30.88,32.33,29.77,0.92,2.04,26.4,162.75,263303,1750,109174,209728,6.58,3.83,0.96,53575,0.16221198156682026
